cmd_vel_x,cmd_vel_y,cmd_vel_z,cmd_ang_x,cmd_ang_y,cmd_ang_z,orient_x,orient_y,orient_z,orient_w,imu_ang_x,imu_ang_y,imu_ang_z,imu_accel_x,imu_accel_y,imu_accel_z,quaternion_norm,roll,pitch,yaw,imu_ang_magnitude,imu_accel_magnitude,delta_roll,delta_pitch,delta_yaw
0.1,0,0,0,0,0.3,-0.000183538,0.002704349,0.178558478,0.983925568,0.001743825,0.002154552,0.299742306,-0.047019128,0.034373149,9.782136755,1,0.102042135,-0.076082013,-0.415074848,1.015242291,-0.053450383,0.00082625,0.000465968,0.085916039
0.1,0,0,0,0,0.3,-0.00017929,0.002710012,0.179296127,0.983791402,0.001908918,0.002647285,0.299718768,-0.061621736,0.025846749,9.788762926,1,0.116853771,-0.067710168,-0.412668629,1.015140483,-0.039209515,0.000826734,0.000525128,0.085917882
0.1,0,0,0,0,0.3,-0.000175138,0.002716192,0.180033689,0.983656679,0.001832723,0.003184956,0.299839362,-0.056124573,0.05201545,9.783423095,1,0.131673997,-0.05839593,-0.410262367,1.015827135,-0.050440142,0.000827214,0.00058424,0.085919444
0.1,0,0,0,0,0.3,-0.000171086,0.002722887,0.180771159,0.9835214,0.001957034,0.003040528,0.299801751,-0.076716978,0.021037743,9.793379267,1,0.146502743,-0.048140074,-0.407856071,1.015617195,-0.02916687,0.000827689,0.000643303,0.085920659
0.1,0,0,0,0,0.3,-0.000167133,0.002730097,0.181508534,0.983385566,0.00197704,0.003290196,0.300039137,-0.016939845,0.106857688,9.470710571,1,0.161339854,-0.036943349,-0.405449752,1.016932715,-0.716336361,0.000828156,0.00070232,0.085921482
0.1,0,0,0,0,0.3,-0.000163186,0.002737233,0.182245639,0.98324921,0.001722792,0.003609408,0.299701295,-0.066707098,-0.025972743,9.800338789,1,0.176155908,-0.025892776,-0.403043982,1.015093602,-0.014463391,0.000826981,0.000693152,0.085901871
0.1,0,0,0,0,0.3,-0.000159332,0.002744826,0.182982646,0.983112299,0.00171016,0.003719226,0.300059871,-0.085195061,0.061445432,9.9639846,1,0.190975466,-0.014009968,-0.400638193,1.017064763,0.334985655,0.000827176,0.000745355,0.08590253
0.1,0,0,0,0,0.3,-0.000155582,0.002752946,0.183719588,0.982974827,0.002042532,0.003666166,0.300130218,-0.034268137,0.049430628,9.849632377,1,0.205803508,-0.001161655,-0.398232281,1.017457915,0.090444613,0.00082765,0.000805917,0.08590696
0.1,0,0,0,0,0.3,-0.000151937,0.002761589,0.184456465,0.982836794,0.001776214,0.003604503,0.299815564,-0.044532864,0.071213231,9.518369648,1,0.220639487,0.012645613,-0.395826241,1.015720927,-0.615273999,0.000828093,0.000866068,0.085911522
0.1,0,0,0,0,0.3,-0.000148268,0.002769959,0.185193045,0.982698245,0.001948194,0.003690995,0.299854116,-0.058205881,0.00282779,9.641141396,1,0.235444427,0.025934738,-0.393420833,1.015943724,-0.353989188,0.000826361,0.000833567,0.085888938
